s2_cellid,men,women
10836459206593216512,98406023.75679831,108010451.67546183
10836459240952954880,1008099295.5177476,1143100933.8060734
10836459275312693248,1024257823.823961,1080824556.6934896
10836459309672431616,1556996813.4594898,1473222110.3370275
10836459344032169984,2304915670.3457165,2140912520.5422344
10836459378391908352,2128509372.3455539,2285223101.9243793
10836459412751646720,1099712185.440843,1257578775.882005
10836459447111385088,1625130767.4669771,1758511479.1923916
10836459481471123456,1965421635.902502,2151001291.880388
10836459515830861824,2510959769.956997,2695282055.713785
10836459550190600192,2603444299.616222,2823772079.5881763
10836459584550338560,1385587648.0107949,1482980809.9351144
10836459618910076928,2130918706.8595827,2268376507.315483
10836459653269815296,1170047582.4514332,1270187984.2177806
10836459687629553664,1105539189.206715,1228148201.247788
10836459721989292032,1590679642.0485399,1796489301.2695782
10836459756349030400,1059998217.9552276,1134490524.9828439
10836459790708768768,1726066871.811059,1977012452.9713879
10836459825068507136,1678306836.7163358,1887241705.2658837
10836459859428245504,1791626122.6046917,2019060553.4436817
10836459893787983872,2019009940.9581187,2300164293.1473055
10836459928147722240,2002835417.7237463,2256401921.0471773
10836459962507460608,2003546766.796111,2282345748.9428086
10836459996867198976,2102356762.0911467,2337320566.7693806
10836460031226937344,1825309047.9708107,2049731835.189466
10836460065586675712,1935735190.0570242,2216740428.7321777
10836460099946414080,2029649120.8539143,2261313528.018733
10836460134306152448,2202655796.7043743,2469858609.3861203
10836460168665890816,2191243422.344492,2566754716.9281087
10836460203025629184,2101744512.9998536,2454078865.7312326
10836460237385367552,1671375275.0509777,1932580256.438492
10836460271745105920,1520232420.993617,1708361189.4641511
10836460306104844288,1768926953.9578204,1982311791.2830558
10836460340464582656,1688594996.8087547,1875247108.8842494
10836460374824321024,1593896225.5319645,1804803379.0689297
10836460409184059392,280339458.2357171,313024823.29697454
10836460443543797760,1405150211.5475647,1520553717.9653718
10836460477903536128,806478931.4933709,844575801.4783851
10836460512263274496,1730715483.080837,1878300803.0026388
10836460546623012864,2193100010.3911257,2390906136.8997517
10836460580982751232,1912968582.9036345,2106730915.1492188
10836460615342489600,1953138752.8142133,2139239476.9123483
10836460649702227968,1799997707.6015043,1972948276.6194246
