s2_cellid,18-25,26-35,36-45,46-55,56-65,66-75,75+
10836435464014004224,32917595.808232974,23595798.765193548,25634941.868358422,26508860.34114337,14856614.037344085,6117429.309494624,4078286.206329749
10836435498373742592,155356815.60205838,115814172.43683437,128324888.21041484,126284184.54499467,70403949.32263647,29038784.677834764,19136564.552743427
10836435532733480960,473549899.3745835,569012713.2121576,747199494.9795582,441879487.1075587,228532468.16717878,96624190.17725569,52937088.099564075
10836435567093219328,281218588.8273948,234382282.44893342,326022737.0272429,297711174.036679,131003522.37739086,53251171.32793033,25085778.401326053
10836435601452957696,979276252.1476407,893090645.7416726,964999346.0594739,1111694092.1316414,551499642.4768679,197993596.46122795,93846007.3044045
10836435635812696064,799363230.8807168,796689145.8505807,1142536768.3299127,928694492.6842176,448151597.1121358,181968052.7167078,83735137.26703969
10836435670172434432,740958678.6928943,868644125.548996,746581765.309336,761437084.3014195,652450544.24871,286070258.876299,135996178.8477202
10836435704532172800,706707266.4257641,976024068.1886806,678364229.1586891,684495355.8554585,693341367.1176169,324833189.0727403,166758939.03451413
10836435738891911168,816204354.9601985,1256303840.7400377,816523684.7612636,705445180.2376375,438472345.2378547,184590097.76390657,108608386.78847158
10836435773251649536,926185454.5321112,1030980330.5872419,954122007.4122599,964731900.8585386,453788374.72015506,147817685.08524156,62824612.12547682
10836435807611387904,667988058.3660913,723622366.0014497,657102719.2348424,612759686.4541837,312749694.01571155,103553965.5961612,45968273.27215187
10836435841971126272,752171203.2891706,1306484922.3074849,888252308.1711056,632174178.9067675,320485935.8589236,163799538.12298626,92231478.39952298
10836435876330864640,490408562.268962,805222158.6254673,607909235.5360266,433191381.831651,199032184.61980778,98029784.47444241,50158995.0865403
10836435910690603008,839133869.2387475,1750360808.1409266,1472362253.25519,678776715.5804445,307847412.65576696,89383347.23694924,42219699.97703589
10836435945050341376,710540355.0155869,1043205677.2066752,957401602.6579162,664773566.956018,271726919.65811634,117693987.03929934,48011272.00171665
10836435979410079744,743697169.9067858,1333684536.1945832,905078488.8866024,627984395.1060231,313486145.853476,166092799.0140713,94320798.26734886
10836436013769818112,998777134.0803357,2049817514.2891738,1717614637.599858,964297643.5905331,467953372.0318354,198458295.72979653,87273972.77820826
10836436048129556480,702333996.6352056,1173003719.7460961,1052762896.8176384,722433845.727966,399865010.74050915,159748796.18940502,67048575.738253996
10836436082489294848,542310205.9043765,830896528.2220143,1186883653.8495352,767272568.1082208,290792277.91311556,158964876.9201824,73842957.61948124
10836436116849033216,968997284.4149742,1855271567.2756789,1671468930.6332846,981781718.710514,457573580.61534154,203441990.43615618,82109597.05891725
10836436151208771584,700929375.0047512,781167398.6948485,734623147.5436947,701103870.4830785,434911593.9290552,254820361.32150072,103209613.57356144
10836436185568509952,640285648.8166778,653115662.9726132,634980419.0724224,674856082.828841,446316823.3637513,338133190.0799563,197039484.1840193
10836436219928248320,471931066.2932607,532933209.95252305,490269721.02531445,462453840.71413976,434316382.3821438,292190104.8168139,164534091.62305242
10836436254287986688,602414819.4618863,705243837.9961269,628384959.5686207,521008855.9475102,535708237.382695,332303545.2500493,122496179.47667712
10836436288647725056,747203880.1057134,843206374.0683119,738732838.8218455,706067224.3299743,439809853.1943805,303193577.295751,146724652.8120668
10836436323007463424,848178014.0005721,1028232839.4979153,922622213.2561996,824445446.7355334,393241096.94870365,133802314.43054745,57475046.54008734
10836436357367201792,523297444.8454177,935238275.8797739,683627197.0997993,495527078.67203224,206673020.36979318,60302522.63955283,31482786.959697757
10836436391726940160,634509752.0369333,828209129.2465653,701828484.8396264,590009910.993287,414924620.7461196,267770284.43292496,95589484.50438257
10836436426086678528,758983652.5155411,1150885772.788897,809068104.3220785,668956992.5631138,792138578.6474007,293210631.8964459,93505315.44047628
10836436460446416896,345849601.36560154,512376589.33499956,499955830.6822724,326107506.99743044,313698129.15637344,124105684.83446854,37269374.37972215
10836436494806155264,48751165.07869444,255631109.19469267,164378928.40636715,43126030.64653739,26875642.28697258,7500179.242876068,2500059.747625356
10836436529165893632,103316707.72336453,541750428.9596936,348362745.27237016,91395549.13989939,56956646.56544455,15894878.11128685,5298292.703762284
10836436563525632000,156260337.24638903,457191237.081087,341657118.53192323,126640215.51241171,64261235.224235624,17952987.110244267,8065265.892615393
10836436666604847104,1059480.680377556,5555482.029159236,3572351.524862785,937232.909564761,584072.6827722423,162997.02775039323,54332.34258346441
10836437113281445888,296692919.87018603,450645741.4273732,760389666.7381418,327218938.5903998,130247855.70324582,71596548.50444394,15699286.627623975
10836437147641184256,838615066.0029789,1064737030.6937225,1112683558.2294374,769303066.4760884,620479682.194286,283662684.34118116,104236982.4555769
10836437182000922624,811525270.562036,884625938.0353765,1079670977.1301017,811214311.9842622,476630183.6890467,280997110.11707824,119297572.02969301
10836437216360660992,223861298.70396286,336003472.6396497,553270808.5666658,242401134.6432375,104631664.73358347,55848814.29557125,12870527.63950035
