ORDEN,UN_ADMIN,REGION,UNIDAD TERRITORIAL,Robo_Violencia,Robo_Sorpresa,Robo_Fuerza,Robo_Vehiculo,Robo_Accesorios_V,Robo_Lugar_Habitado,Robo_Lugar_No_Habitado,Otros_Robos,Hurtos,Lesiones,Lesiones_Leves,Lesiones_Graves,Homicidio,Violación
308,COMUNA,10,Dalcahue,6,2,55,3,6,15,25,6,56,48,41,7,3,6
309,COMUNA,10,Puqueldón,1,0,3,0,0,2,1,0,8,13,10,3,0,1
310,COMUNA,10,Queilén,0,0,14,0,0,5,9,0,12,17,13,4,0,1
311,COMUNA,10,Quellón,32,14,151,1,25,49,71,5,219,165,112,53,0,4
312,COMUNA,10,Quemchi,0,0,14,0,1,4,8,1,12,13,10,3,0,2
313,COMUNA,10,Quinchao,1,4,20,0,1,4,15,0,30,35,26,9,0,2
314,PROVINCIA,10,Provincia de Osorno,259,175,1.622,112,359,606,492,53,2.910,910,693,217,5,44
315,COMUNA,10,Osorno,226,162,1.317,101,339,482,350,45,2.621,606,462,144,4,26
316,COMUNA,10,Puerto Octay,2,0,42,0,3,12,26,1,40,42,31,11,0,4
317,COMUNA,10,Purranque,17,7,69,4,9,28,24,4,81,93,80,13,0,3
318,COMUNA,10,Puyehue,3,2,47,2,2,14,29,0,43,56,39,17,1,6
319,COMUNA,10,Río Negro,8,2,53,2,2,30,16,3,56,58,38,20,0,2
320,COMUNA,10,San Juan de la Costa,2,1,40,0,0,18,22,0,30,32,24,8,0,0
321,COMUNA,10,San Pablo,1,1,54,3,4,22,25,0,39,23,19,4,0,3
322,PROVINCIA,10,Provincia de Palena,1,0,56,1,6,24,25,0,94,73,52,21,0,5
323,COMUNA,10,Chaitén,0,0,8,0,1,1,6,0,17,13,10,3,0,1
324,COMUNA,10,Futaleufú,0,0,5,0,0,2,3,0,15,11,9,2,0,0
325,COMUNA,10,Hualaihué,1,0,39,1,5,19,14,0,51,41,27,14,0,4
326,COMUNA,10,Palena,0,0,4,0,0,2,2,0,11,8,6,2,0,0
327,REGION,11,Región de Aysén,71,26,510,50,60,175,210,15,1.169,690,486,204,4,15
328,PROVINCIA,11,Provincia de Coyhaique,52,25,334,50,47,113,116,8,811,379,256,123,3,10
329,COMUNA,11,Coyhaique,52,25,329,50,47,111,113,8,805,374,253,121,3,10
330,COMUNA,11,Lago Verde,0,0,5,0,0,2,3,0,6,5,3,2,0,0
331,PROVINCIA,11,Provincia de Aysén,19,1,120,0,11,45,59,5,261,232,175,57,0,3
332,COMUNA,11,Aysén,18,1,101,0,11,41,44,5,230,180,143,37,0,2
333,COMUNA,11,Cisnes,0,0,18,0,0,3,15,0,22,26,19,7,0,0
334,COMUNA,11,Guaitecas,1,0,1,0,0,1,0,0,9,26,13,13,0,1
335,PROVINCIA,11,Provincia de Capitán Prat,0,0,25,0,2,8,15,0,42,32,16,16,1,0
336,COMUNA,11,Cochrane,0,0,21,0,1,7,13,0,32,16,7,9,1,0
337,COMUNA,11,O'Higgins,0,0,2,0,0,0,2,0,7,6,4,2,0,0
338,COMUNA,11,Tortel,0,0,2,0,1,1,0,0,3,10,5,5,0,0
339,PROVINCIA,11,Provincia de General Carrera,0,0,31,0,0,9,20,2,55,47,39,8,0,2
340,COMUNA,11,Chile Chico,0,0,21,0,0,4,17,0,38,33,28,5,0,0
341,COMUNA,11,Río Ibáñez,0,0,10,0,0,5,3,2,17,14,11,3,0,2
342,REGION,12,Región de Magallanes,112,29,1.002,274,162,279,262,25,1.568,684,525,159,5,25
343,PROVINCIA,12,Provincia de Magallanes,99,26,843,256,151,237,177,22,1.237,514,389,125,4,23
344,COMUNA,12,Punta Arenas,99,26,836,256,151,237,170,22,1.228,506,386,120,4,23
345,COMUNA,12,Laguna Blanca,0,0,0,0,0,0,0,0,0,1,0,1,0,0
346,COMUNA,12,Río Verde,0,0,1,0,0,0,1,0,0,0,0,0,0,0
347,COMUNA,12,San Gregorio,0,0,6,0,0,0,6,0,9,7,3,4,0,0
348,PROVINCIA,12,Provincia de Antártica Chilena,0,0,4,0,0,0,4,0,3,6,5,1,0,0
349,COMUNA,12,Cabo de Hornos,0,0,4,0,0,0,4,0,3,6,5,1,0,0
350,COMUNA,12,Antártica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,PROVINCIA,12,Provincia de Tierra del Fuego,4,0,44,0,5,8,31,0,59,49,41,8,0,2
352,COMUNA,12,Porvenir,4,0,40,0,5,8,27,0,55,46,39,7,0,2
353,COMUNA,12,Primavera,0,0,3,0,0,0,3,0,4,3,2,1,0,0
354,COMUNA,12,Timaukel,0,0,1,0,0,0,1,0,0,0,0,0,0,0
355,PROVINCIA,12,Provincia de Última Esperanza,9,3,111,18,6,34,50,3,269,115,90,25,1,0
356,COMUNA,12,Natales,9,3,110,18,6,34,49,3,252,114,90,24,1,0
357,COMUNA,12,Torres del Paine,0,0,1,0,0,0,1,0,17,1,0,1,0,0
358,REGION,13,Región Metropolitana,41.541,19.168,92.166,15.364,36.183,19.585,18.223,2.811,65.621,28.350,22.796,5.554,215,976
359,PROVINCIA,13,Provincia de Santiago,33.100,16.205,73.978,12.944,31.272,13.481,13.884,2.397,54.590,20.945,16.974,3.971,161,724
360,COMUNA,13,Santiago,4.302,3.834,9.509,1.917,4.034,1.007,2.032,519,9.739,2.499,2.060,439,15,91
361,COMUNA,13,Cerrillos,601,227,1.310,240,530,206,295,39,1.201,436,358,78,0,6
362,COMUNA,13,Cerro Navia,587,181,713,144,93,278,191,7,335,466,307,159,8,21
363,COMUNA,13,Conchalí,728,278,1.040,299,298,191,233,19,691,537,437,100,5,18
364,COMUNA,13,El Bosque,1.026,369,1.251,440,269,277,245,20,917,563,476,87,9,28
365,COMUNA,13,Estación Central,1.245,1.282,1.891,414,690,339,386,62,2.819,724,546,178,6,36
366,COMUNA,13,Huechuraba,516,195,1.359,246,656,172,266,19,1.340,369,290,79,2,14
367,COMUNA,13,Independencia,612,312,1.227,419,352,179,251,26,606,432,337,95,1,23
368,COMUNA,13,La Cisterna,1.113,399,1.354,360,447,254,270,23,665,437,375,62,5,10
369,COMUNA,13,La Florida,2.470,841,5.073,528,2.583,996,739,227,5.405,1.571,1.243,328,9,50
370,COMUNA,13,La Granja,904,332,1.057,251,284,291,207,24,393,566,457,109,4,20
371,COMUNA,13,La Pintana,1.237,284,1.242,398,212,352,264,16,649,858,641,217,9,44
372,COMUNA,13,La Reina,375,140,2.335,216,1.244,543,276,56,1.788,300,253,47,2,4
373,COMUNA,13,Las Condes,952,413,5.792,539,3.392,853,820,188,4.466,552,472,80,1,11
374,COMUNA,13,Lo Barnechea,277,63,1.032,92,509,249,157,25,837,337,270,67,2,8
375,COMUNA,13,Lo Espejo,654,320,637,122,206,147,133,29,246,403,301,102,8,17
376,COMUNA,13,Lo Prado,542,203,595,160,109,150,161,15,560,365,295,70,4,10
377,COMUNA,13,Macul,672,289,1.611,216,776,319,238,62,540,333,284,49,2,10
378,COMUNA,13,Maipú,2.258,805,4.644,920,1.571,1.228,813,112,3.065,1.405,1.160,245,4,55
379,COMUNA,13,Ñuñoa,1.047,496,4.934,746,2.382,782,830,194,1.893,659,584,75,7,16
380,COMUNA,13,Pedro Aguirre Cerda,473,237,849,143,355,203,135,13,306,463,367,96,3,12
381,COMUNA,13,Peñalolén,840,386,2.341,332,1.083,587,303,36,1.524,959,814,145,7,33
382,COMUNA,13,Providencia,1.435,1.171,5.829,626,3.133,676,1.084,310,5.873,737,621,116,0,12
383,COMUNA,13,Pudahuel,1.284,353,1.876,380,564,472,411,49,1.165,815,651,164,12,33
384,COMUNA,13,Quilicura,998,390,2.381,422,655,640,638,26,1.359,773,634,139,5,26
385,COMUNA,13,Quinta Normal,990,279,1.853,505,516,380,418,34,732,537,431,106,4,23
386,COMUNA,13,Recoleta,1.583,977,2.082,416,788,322,523,33,1.503,911,741,170,10,32
387,COMUNA,13,Renca,806,249,1.122,241,189,333,311,48,484,662,512,150,6,28
388,COMUNA,13,San Joaquín,545,188,985,172,373,199,232,9,377,397,310,87,7,9
389,COMUNA,13,San Miguel,1.024,328,2.342,403,1.104,357,424,54,1.346,399,349,50,1,9
390,COMUNA,13,San Ramón,583,241,816,234,161,220,179,22,768,323,268,55,3,10
391,COMUNA,13,Vitacura,421,143,2.896,403,1.714,279,419,81,998,157,130,27,0,5
392,PROVINCIA,13,Provincia de Cordillera,3.262,1.068,5.533,933,1.762,1.769,961,108,4.558,2.615,2.095,520,9,88
393,COMUNA,13,Puente Alto,3.213,1.052,4.957,915,1.636,1.496,813,97,4.382,2.410,1.927,483,9,81
394,COMUNA,13,Pirque,27,11,311,10,43,181,69,8,89,68,52,16,0,2
395,COMUNA,13,San José de Maipo,22,5,265,8,83,92,79,3,87,137,116,21,0,5
