,APRUEBO,RECHAZO,"VOTOS EN BLANCO","VOTOS NULOS"
"EDUARDO ARTES BRICHETTI",0.9507434944237918,0.048327137546468404,0.0009293680297397769,0.0009293680297397769
"GABRIEL BORIC FONT",0.9636215038140211,0.03483472575372321,0.001543770432255721,0.001543770432255721
"JOSE ANTONIO KAST RIST",0.37736991943788234,0.6192985644194076,0.003331516142710037,0.003331516142710037
"MARCO ENRIQUEZ-OMINAMI GUMUCIO",0.8983050847457628,0.10028248587570622,0.0014124293785310734,0.0014124293785310734
"FRANCO PARISI FERNANDEZ",0.8631873415508349,0.13375295043273014,0.003059708016435003,0.003059708016435003
"YASNA PROVOSTE CAMPILLAY",0.9232710752145381,0.0734477536597678,0.003281171125694094,0.003281171125694094
"SEBASTIAN SICHEL RAMIREZ",0.4756070881645154,0.5204550426602494,0.003937869175235178,0.003937869175235178
"Votos Blancos",0.9094922737306843,0.08609271523178808,0.004415011037527594,0.004415011037527594
"Votos Nulos",0.9094922737306843,0.08609271523178808,0.004415011037527594,0.004415011037527594
